id_prueba,timestamp,modo,tipo_evento,escenario,distancia_m,iluminacion,objeto_verdad,objeto_predicho,confianza,t_total_ms,latencia,acierto,notas
2619,2026-01-02T01:13:46.728771,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,cleaned temp file /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334426346.png
2620,2026-01-02T01:13:46.730835,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,,,"= IDAD"""
2621,2026-01-02T01:13:46.736667,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,00:01.3,,converted output to speech
2622,2026-01-02T01:13:47.350660,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.6,,,starting
2623,2026-01-02T01:13:47.947277,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.6,,,finished (44789 bytes)
2624,2026-01-02T01:13:47.953657,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,starting
2625,2026-01-02T01:13:47.956161,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,44789 bytes
2626,2026-01-02T01:13:48.084213,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.1,,,original size: 1024x768
2627,2026-01-02T01:13:48.119245,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,upscaled to: 1024x768
2628,2026-01-02T01:13:48.415302,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,saved temp image at /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334428404.png
2629,2026-01-02T01:13:48.416960,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,"running tesseract (psm=11,oem=1)"
2630,2026-01-02T01:13:49.443929,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:01.0,,,"18 & u ;ﬁmdlmo MAXIMA ="""
2631,2026-01-02T01:13:49.450222,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,cleaned temp file /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334428404.png
2632,2026-01-02T01:13:49.452688,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,,,"18 & u ;ﬁmdlmo MAXIMA ="""
2633,2026-01-02T01:13:49.464245,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,00:02.1,,converted output to speech
2634,2026-01-02T01:13:49.932398,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.5,,,starting
2635,2026-01-02T01:13:50.654627,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.7,,,finished (44280 bytes)
2636,2026-01-02T01:13:50.656571,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,starting
2637,2026-01-02T01:13:50.659099,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,44280 bytes
2638,2026-01-02T01:13:50.789852,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.1,,,original size: 1024x768
2639,2026-01-02T01:13:50.818961,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,upscaled to: 1024x768
2640,2026-01-02T01:13:51.127578,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,saved temp image at /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334431117.png
2641,2026-01-02T01:13:51.129998,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,"running tesseract (psm=11,oem=1)"
